,Timestamp,Acc-x, Acc-y, Acc-z,Time
6417,1640237458377,-1.1749822,-3.6063929,6.6504474,2021:12:23:14:30:58.377
6418,1640237458403,0.8336265,2.4326084,10.295767,2021:12:23:14:30:58.403
6419,1640237458418,1.6319197,1.0132874,14.1345215,2021:12:23:14:30:58.418
6420,1640237458438,0.45873415,3.5776472,11.988771,2021:12:23:14:30:58.438
6421,1640237458456,0.6270165,5.6760864,4.216641,2021:12:23:14:30:58.456
6422,1640237458479,0.5120335,4.2465844,8.230266,2021:12:23:14:30:58.479
6423,1640237458501,0.1754688,4.22263,6.5558257,2021:12:23:14:30:58.501
6424,1640237458519,-0.26170602,4.5639853,7.234944,2021:12:23:14:30:58.519
6425,1640237458540,0.026350264,4.472957,7.451735,2021:12:23:14:30:58.540
6426,1640237458559,-0.021559307,-0.8875248,9.201632,2021:12:23:14:30:58.559
6427,1640237458587,0.9731632,3.274619,11.347382,2021:12:23:14:30:58.587
6428,1640237458618,1.3432646,4.891567,8.875847,2021:12:23:14:30:58.618
6429,1640237458635,1.3863832,4.111839,11.936669,2021:12:23:14:30:58.635
6430,1640237458658,0.84320843,2.0139985,14.072838,2021:12:23:14:30:58.658
6431,1640237458674,0.09821462,3.5584834,8.691994,2021:12:23:14:30:58.674
6432,1640237458701,-1.0312535,3.4333196,6.1126623,2021:12:23:14:30:58.701
6433,1640237458718,-0.8342254,3.7752743,6.3102894,2021:12:23:14:30:58.718
6434,1640237458736,-0.69947976,2.9332635,9.790919,2021:12:23:14:30:58.736
6435,1640237458756,-0.30063257,5.338923,7.1073847,2021:12:23:14:30:58.756
6436,1640237458777,0.1658869,5.199386,10.729348,2021:12:23:14:30:58.777
6437,1640237458801,-0.45454204,4.939477,8.342853,2021:12:23:14:30:58.801
6438,1640237458817,-0.3724969,4.4633756,7.8008757,2021:12:23:14:30:58.817
6439,1640237458837,-0.98274505,2.3074448,10.517348,2021:12:23:14:30:58.837
6440,1640237458858,-0.1754688,2.0235806,9.286073,2021:12:23:14:30:58.858
6441,1640237458885,0.27128795,-0.18984167,9.83823,2021:12:23:14:30:58.885
